id,label,square,piece,shap_win,shap_loss
8,Bf3,f3,♗,0.179,-0.17883014481583914
8,a3,a3,♙,0.113,-0.11338289052895233
8,e5,e5,♟,-0.062,0.061870085631588016
8,f7,f7,♟,-0.062,0.06160957122212824
8,g6,g6,♟,-0.049,0.04919162716853347
8,h2,h2,♙,0.0,0.0
8,d5,d5,♙,0.0,0.0
8,g4,g4,♙,0.0,0.0
8,h7,h7,♟,0.0,0.0
9,Ra3,a3,♖,0.347,-0.34715948407958525
9,Rc1,c1,♖,0.337,-0.3369674914029382
9,Rd8,d8,♜,-0.303,0.3027520490330875
9,Rf8,f8,♜,-0.303,0.30272353576605926
9,Ba4,a4,♗,0.207,-0.20745206060121116
9,Nd7,d7,♞,-0.178,0.17827410382705822
9,b4,b4,♙,0.121,-0.12052230053676687
9,a6,a6,♟,-0.076,0.07621117270186367
9,b6,b6,♟,-0.07,0.06960678069486209
9,d6,d6,♟,-0.066,0.06553369459757069
9,a2,a2,♙,0.0,0.0
9,g2,g2,♙,0.0,0.0
9,h2,h2,♙,0.0,0.0
9,f5,f5,♟,0.0,0.0
9,d5,d5,♙,0.0,0.0
9,c4,c4,♙,0.0,0.0
9,f3,f3,♙,0.0,0.0
9,e5,e5,♟,0.0,0.0
9,g6,g6,♟,0.0,0.0
9,h7,h7,♟,0.0,0.0
10,Rc8,c8,♜,-0.411,0.4112088395382075
10,Rb7,b7,♖,0.37,-0.36969800414095827
10,c7,c7,♙,0.222,-0.22249077016578575
10,Bb3,b3,♗,0.203,-0.20317892511546318
10,Nf8,f8,♞,-0.145,0.14480624139822298
10,a5,a5,♟,-0.139,0.1392801464762337
10,a4,a4,♙,0.127,-0.12678724031393293
10,f5,f5,♟,-0.069,0.06929612878041297
10,g2,g2,♙,0.059,-0.05882802668844958
10,f3,f3,♙,0.058,-0.05760838976848743
10,h2,h2,♙,0.0,0.0
10,h6,h6,♟,0.0,0.0
10,e5,e5,♟,0.0,0.0
10,g6,g6,♟,0.0,0.0
11,Rc8,c8,♜,-0.408,0.40836740260850213
11,Rb7,b7,♖,0.373,-0.37264935844021657
11,c7,c7,♙,0.206,-0.20643166557424983
11,Bb3,b3,♗,0.202,-0.20172953701084895
11,Nf8,f8,♞,-0.144,0.14373119580712754
11,a5,a5,♟,-0.142,0.14204800678986673
11,a4,a4,♙,0.137,-0.1371016847782514
11,f5,f5,♟,-0.073,0.07295788338863882
11,g2,g2,♙,0.063,-0.06298015985903702
11,f3,f3,♙,0.049,-0.049212082931531426
11,h3,h3,♙,0.0,0.0
11,h6,h6,♟,0.0,0.0
11,e5,e5,♟,0.0,0.0
11,g6,g6,♟,0.0,0.0
12,Rc8,c8,♜,-0.409,0.4091667639278271
12,Rb7,b7,♖,0.368,-0.367953738920235
12,c7,c7,♙,0.218,-0.2182482804821313
12,Bb3,b3,♗,0.203,-0.20252927717486882
12,Nf8,f8,♞,-0.153,0.15290692772943676
12,a5,a5,♟,-0.15,0.1503572081336136
12,a4,a4,♙,0.132,-0.131720891490609
12,g2,g2,♙,0.056,-0.05583109319245856
12,f3,f3,♙,0.042,-0.04222206598287028
12,h3,h3,♙,0.034,-0.03392555254770452
12,h6,h6,♟,0.0,0.0
12,g5,g5,♟,0.0,0.0
12,f5,f5,♟,0.0,0.0
12,e5,e5,♟,0.0,0.0
13,Qc2,c2,♕,0.415,-0.41527246367099335
13,Qb5,b5,♛,-0.396,0.3964934717460297
